# [2025-01-08 15:13:09,887] INFO: Loading Hamiltonian from saved file
# [2025-01-08 15:13:11,982] INFO: Setting up the training loop
# [2025-01-08 15:13:13,261] INFO: Initializing parameters and states
# [2025-01-08 15:13:22,952] INFO: Burning in the sampler for 100 steps
# [2025-01-08 15:13:30,964] INFO: Start training
# HF energy from loaded: -108.86681062198419
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.8884	-108.8884	-108.8616	0.9998	2.4181	0.0222	3.0e-04	10.7036
1	-108.8899	-108.8899	-108.8640	0.9998	2.3730	0.0218	3.0e-04	0.7702
2	-108.8892	-108.8892	-108.8627	0.9998	2.3987	0.0220	3.0e-04	0.5423
3	-108.8889	-108.8889	-108.8615	0.9997	2.4447	0.0224	3.0e-04	0.5423
4	-108.8908	-108.8908	-108.8618	0.9997	2.5135	0.0231	3.0e-04	0.5416
5	-108.8908	-108.8908	-108.8584	0.9997	2.6530	0.0244	3.0e-04	0.5402
6	-108.8917	-108.8917	-108.8579	0.9997	2.7148	0.0249	3.0e-04	0.5424
7	-108.8929	-108.8929	-108.8557	0.9997	2.8466	0.0261	3.0e-04	0.5452
8	-108.8938	-108.8938	-108.8518	0.9996	3.0246	0.0278	3.0e-04	0.5429
9	-108.8942	-108.8942	-108.8489	0.9996	3.1386	0.0288	3.0e-04	0.5424
10	-108.8963	-108.8963	-108.8474	0.9996	3.2610	0.0299	3.0e-04	0.5438
11	-108.8967	-108.8967	-108.8433	0.9995	3.4107	0.0313	3.0e-04	0.5453
12	-108.8951	-108.8951	-108.8376	0.9995	3.5383	0.0325	3.0e-04	0.5457
13	-108.8982	-108.8982	-108.8343	0.9994	3.7281	0.0342	3.0e-04	0.5436
14	-108.8985	-108.8985	-108.8270	0.9993	3.9453	0.0362	3.0e-04	0.5461
15	-108.8993	-108.8993	-108.8246	0.9993	4.0300	0.0370	3.0e-04	0.5447
16	-108.9006	-108.9006	-108.8171	0.9992	4.2620	0.0391	3.0e-04	0.5446
17	-108.9007	-108.9007	-108.8098	0.9992	4.4513	0.0409	3.0e-04	0.5445
18	-108.9039	-108.9039	-108.8016	0.9991	4.7181	0.0433	3.0e-04	0.5441
19	-108.9041	-108.9041	-108.7957	0.9990	4.8584	0.0446	3.0e-04	0.5450
20	-108.9064	-108.9064	-108.7831	0.9989	5.1824	0.0476	3.0e-04	0.5445
