# [2025-01-05 13:17:56,684] INFO: Loading Hamiltonian from saved file
# [2025-01-05 13:17:58,519] INFO: Setting up the training loop
# [2025-01-05 13:17:59,715] INFO: Initializing parameters and states
# [2025-01-05 13:18:08,658] INFO: Burning in the sampler for 100 steps
# [2025-01-05 13:18:16,549] INFO: Start training
# HF energy from loaded: -108.86681062198419
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.8884	-108.8884	-108.8616	0.9998	2.4181	0.0222	3.0e-04	10.9348
1	-108.8899	-108.8899	-108.8640	0.9998	2.3730	0.0218	3.0e-04	0.7757
2	-108.8892	-108.8892	-108.8627	0.9998	2.3987	0.0220	3.0e-04	0.5443
3	-108.8889	-108.8889	-108.8615	0.9997	2.4447	0.0224	3.0e-04	0.5435
4	-108.8908	-108.8908	-108.8618	0.9997	2.5135	0.0231	3.0e-04	0.5434
5	-108.8908	-108.8908	-108.8584	0.9997	2.6530	0.0244	3.0e-04	0.5440
6	-108.8917	-108.8917	-108.8579	0.9997	2.7148	0.0249	3.0e-04	0.5455
7	-108.8929	-108.8929	-108.8557	0.9997	2.8466	0.0261	3.0e-04	0.5433
8	-108.8938	-108.8938	-108.8518	0.9996	3.0246	0.0278	3.0e-04	0.5459
9	-108.8942	-108.8942	-108.8489	0.9996	3.1386	0.0288	3.0e-04	0.5446
10	-108.8963	-108.8963	-108.8474	0.9996	3.2610	0.0299	3.0e-04	0.5464
11	-108.8967	-108.8967	-108.8433	0.9995	3.4107	0.0313	3.0e-04	0.5449
12	-108.8951	-108.8951	-108.8376	0.9995	3.5383	0.0325	3.0e-04	0.5457
13	-108.8982	-108.8982	-108.8343	0.9994	3.7281	0.0342	3.0e-04	0.5452
14	-108.8985	-108.8985	-108.8270	0.9993	3.9453	0.0362	3.0e-04	0.5470
15	-108.8993	-108.8993	-108.8246	0.9993	4.0300	0.0370	3.0e-04	0.5445
16	-108.9006	-108.9006	-108.8171	0.9992	4.2620	0.0391	3.0e-04	0.5458
17	-108.9007	-108.9007	-108.8098	0.9992	4.4513	0.0409	3.0e-04	0.5463
18	-108.9039	-108.9039	-108.8016	0.9991	4.7181	0.0433	3.0e-04	0.5459
19	-108.9041	-108.9041	-108.7957	0.9990	4.8584	0.0446	3.0e-04	0.5464
20	-108.9064	-108.9064	-108.7831	0.9989	5.1824	0.0476	3.0e-04	0.5474
21	-108.9099	-108.9099	-108.7741	0.9988	5.4360	0.0499	3.0e-04	0.5475
22	-108.9078	-108.9078	-108.7625	0.9987	5.6251	0.0516	3.0e-04	0.5458
23	-108.9110	-108.9110	-108.7549	0.9986	5.8307	0.0535	3.0e-04	0.5457
24	-108.9131	-108.9131	-108.7379	0.9984	6.1738	0.0567	3.0e-04	0.5479
25	-108.9127	-108.9127	-108.7188	0.9982	6.4965	0.0596	3.0e-04	0.5480
26	-108.9156	-108.9156	-108.7054	0.9981	6.7603	0.0621	3.0e-04	0.5459
27	-108.9211	-108.9211	-108.6971	0.9979	6.9816	0.0641	3.0e-04	0.5465
28	-108.9212	-108.9212	-108.6811	0.9978	7.2274	0.0663	3.0e-04	0.5485
29	-108.9229	-108.9229	-108.6519	0.9975	7.6795	0.0705	3.0e-04	0.5472
30	-108.9240	-108.9240	-108.6440	0.9974	7.8050	0.0717	3.0e-04	0.5458
31	-108.9322	-108.9322	-108.6263	0.9972	8.1557	0.0749	3.0e-04	0.5463
32	-108.9341	-108.9341	-108.6123	0.9970	8.3672	0.0768	3.0e-04	0.5492
33	-108.9346	-108.9346	-108.5775	0.9967	8.8131	0.0809	3.0e-04	0.5475
34	-108.9366	-108.9366	-108.5681	0.9966	8.9530	0.0822	3.0e-04	0.5478
35	-108.9437	-108.9437	-108.5291	0.9962	9.4956	0.0872	3.0e-04	0.5484
36	-108.9419	-108.9419	-108.5225	0.9962	9.5496	0.0877	3.0e-04	0.5492
37	-108.9521	-108.9521	-108.5221	0.9961	9.6705	0.0888	3.0e-04	0.5481
38	-108.9543	-108.9543	-108.4781	0.9956	10.1762	0.0934	3.0e-04	0.5489
39	-108.9577	-108.9577	-108.4575	0.9954	10.4270	0.0957	3.0e-04	0.5496
40	-108.9621	-108.9621	-108.4481	0.9953	10.5694	0.0970	3.0e-04	0.5502
41	-108.9674	-108.9674	-108.4301	0.9951	10.8050	0.0992	3.0e-04	0.5482
