# [2025-04-12 09:24:19,894] INFO: Loading Hamiltonian from saved file
# [2025-04-12 09:24:22,453] INFO: Setting up the training loop
# [2025-04-12 09:24:23,804] INFO: Initializing parameters and states
# [2025-04-12 09:24:33,433] INFO: Burning in the sampler for 100 steps
# [2025-04-12 09:24:48,564] INFO: Start training
# HF energy from loaded: -212.15836732150942
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
298	-213.0952	-213.0952	-160.5599	0.7535	140.0572	0.6574	2.8e-04	14.7505
299	-213.0698	-213.0698	-160.7011	0.7542	139.8226	0.6565	2.8e-04	14.7506
300	-213.0501	-213.0501	-160.6922	0.7542	139.8651	0.6566	2.8e-04	14.7629
301	-213.0198	-213.0198	-161.2550	0.7570	139.1838	0.6534	2.8e-04	14.7613
302	-213.0436	-213.0436	-161.9905	0.7604	138.3349	0.6494	2.8e-04	14.7527
303	-213.0394	-213.0394	-162.6302	0.7634	137.5187	0.6457	2.8e-04	14.7614
304	-213.0442	-213.0442	-164.2334	0.7709	135.6379	0.6369	2.8e-04	14.7581
305	-213.0511	-213.0511	-162.5464	0.7629	137.6456	0.6462	2.8e-04	14.7723
306	-213.0467	-213.0467	-164.0713	0.7701	135.8354	0.6377	2.8e-04	14.7771
307	-213.0465	-213.0465	-162.8936	0.7646	137.2494	0.6444	2.8e-04	14.7711
308	-213.0808	-213.0808	-163.8511	0.7690	136.1871	0.6393	2.8e-04	14.7674
309	-213.0974	-213.0974	-164.5280	0.7721	135.3910	0.6355	2.8e-04	14.7644
310	-213.0680	-213.0680	-164.3637	0.7714	135.5022	0.6363	2.8e-04	14.7630
311	-213.1098	-213.1098	-164.3425	0.7712	135.5851	0.6364	2.8e-04	14.7538
312	-213.0617	-213.0617	-162.5671	0.7630	137.7055	0.6464	2.8e-04	14.7525
313	-213.0876	-213.0876	-163.5120	0.7673	136.5963	0.6412	2.8e-04	14.7534
314	-212.9920	-212.9920	-163.7567	0.7688	136.1405	0.6394	2.8e-04	14.7468
315	-213.0136	-213.0136	-163.2521	0.7664	136.8150	0.6424	2.8e-04	14.7526
316	-213.0747	-213.0747	-164.8882	0.7739	134.8765	0.6332	2.8e-04	14.7399
