# [2025-02-11 09:29:54,800] INFO: Loading Hamiltonian from saved file
# [2025-02-11 09:29:58,229] INFO: Setting up the training loop
# [2025-02-11 09:29:59,598] INFO: Initializing parameters and states
# [2025-02-11 09:30:09,130] INFO: Burning in the sampler for 100 steps
# [2025-02-11 09:30:17,099] INFO: Start training
# HF energy from loaded: -108.94937785719046
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.9706	-108.9706	-108.9574	0.9999	1.6990	0.0156	3.0e-04	10.7621
1	-108.9713	-108.9713	-108.9572	0.9999	1.7543	0.0161	3.0e-04	0.7777
2	-108.9714	-108.9714	-108.9550	0.9998	1.8925	0.0174	3.0e-04	0.5409
3	-108.9726	-108.9726	-108.9519	0.9998	2.1216	0.0195	3.0e-04	0.5393
4	-108.9741	-108.9741	-108.9508	0.9998	2.2516	0.0207	3.0e-04	0.5412
5	-108.9733	-108.9733	-108.9464	0.9998	2.4201	0.0222	3.0e-04	0.5385
6	-108.9734	-108.9734	-108.9414	0.9997	2.6387	0.0242	3.0e-04	0.5394
7	-108.9745	-108.9745	-108.9369	0.9997	2.8638	0.0263	3.0e-04	0.5388
8	-108.9751	-108.9751	-108.9337	0.9996	3.0038	0.0276	3.0e-04	0.5422
9	-108.9778	-108.9778	-108.9304	0.9996	3.2151	0.0295	3.0e-04	0.5428
10	-108.9774	-108.9774	-108.9249	0.9995	3.3812	0.0310	3.0e-04	0.5414
11	-108.9785	-108.9785	-108.9248	0.9995	3.4191	0.0314	3.0e-04	0.5409
12	-108.9781	-108.9781	-108.9162	0.9994	3.6732	0.0337	3.0e-04	0.5403
13	-108.9794	-108.9794	-108.9162	0.9994	3.7106	0.0340	3.0e-04	0.5392
14	-108.9793	-108.9793	-108.9101	0.9994	3.8855	0.0356	3.0e-04	0.5416
15	-108.9818	-108.9818	-108.9064	0.9993	4.0526	0.0372	3.0e-04	0.5404
16	-108.9824	-108.9824	-108.9028	0.9993	4.1645	0.0382	3.0e-04	0.5412
17	-108.9840	-108.9840	-108.9022	0.9992	4.2219	0.0387	3.0e-04	0.5409
18	-108.9880	-108.9880	-108.8981	0.9992	4.4272	0.0406	3.0e-04	0.5409
19	-108.9846	-108.9846	-108.8889	0.9991	4.5676	0.0419	3.0e-04	0.5402
20	-108.9890	-108.9890	-108.8836	0.9990	4.7914	0.0440	3.0e-04	0.5424
21	-108.9899	-108.9899	-108.8804	0.9990	4.8845	0.0448	3.0e-04	0.5402
22	-108.9914	-108.9914	-108.8729	0.9989	5.0814	0.0466	3.0e-04	0.5407
23	-108.9928	-108.9928	-108.8660	0.9988	5.2560	0.0482	3.0e-04	0.5433
24	-108.9972	-108.9972	-108.8555	0.9987	5.5532	0.0509	3.0e-04	0.5418
25	-108.9955	-108.9955	-108.8413	0.9986	5.7975	0.0532	3.0e-04	0.5412
26	-108.9951	-108.9951	-108.8280	0.9985	6.0330	0.0553	3.0e-04	0.5438
27	-109.0018	-109.0018	-108.8214	0.9983	6.2680	0.0575	3.0e-04	0.5421
28	-109.0033	-109.0033	-108.8053	0.9982	6.5674	0.0602	3.0e-04	0.5418
29	-109.0032	-109.0032	-108.7905	0.9980	6.8081	0.0624	3.0e-04	0.5411
30	-109.0071	-109.0071	-108.7824	0.9979	6.9949	0.0642	3.0e-04	0.5395
31	-109.0146	-109.0146	-108.7656	0.9977	7.3628	0.0675	3.0e-04	0.5443
32	-109.0180	-109.0180	-108.7452	0.9975	7.7085	0.0707	3.0e-04	0.5429
33	-109.0139	-109.0139	-108.7278	0.9974	7.8941	0.0724	3.0e-04	0.5421
34	-109.0183	-109.0183	-108.7178	0.9972	8.0859	0.0742	3.0e-04	0.5433
35	-109.0265	-109.0265	-108.6983	0.9970	8.4538	0.0775	3.0e-04	0.5439
36	-109.0243	-109.0243	-108.6847	0.9969	8.5971	0.0789	3.0e-04	0.5415
37	-109.0341	-109.0341	-108.6702	0.9967	8.8983	0.0816	3.0e-04	0.5445
38	-109.0314	-109.0314	-108.6450	0.9965	9.1718	0.0841	3.0e-04	0.5438
39	-109.0401	-109.0401	-108.6243	0.9962	9.5125	0.0872	3.0e-04	0.5435
40	-109.0415	-109.0415	-108.5964	0.9959	9.8445	0.0903	3.0e-04	0.5436
41	-109.0458	-109.0458	-108.5843	0.9958	10.0223	0.0919	3.0e-04	0.5426
42	-109.0454	-109.0454	-108.5591	0.9955	10.2863	0.0943	3.0e-04	0.5435
43	-109.0592	-109.0592	-108.5434	0.9953	10.5963	0.0971	3.0e-04	0.5439
44	-109.0633	-109.0633	-108.5196	0.9950	10.8779	0.0997	3.0e-04	0.5428
45	-109.0709	-109.0709	-108.4874	0.9947	11.2651	0.1033	3.0e-04	0.5408
46	-109.0745	-109.0745	-108.5086	0.9948	11.0978	0.1017	3.0e-04	0.5436
47	-109.0911	-109.0911	-108.4756	0.9944	11.5700	0.1061	3.0e-04	0.5431
48	-109.0875	-109.0875	-108.4882	0.9945	11.4215	0.1047	3.0e-04	0.5437
49	-109.0840	-109.0840	-108.4615	0.9943	11.6355	0.1066	3.0e-04	0.5441
50	-109.1012	-109.1012	-108.4577	0.9941	11.8347	0.1084	3.0e-04	0.5460
51	-109.1060	-109.1060	-108.4297	0.9938	12.1301	0.1112	3.0e-04	0.5460
52	-109.0969	-109.0969	-108.4153	0.9938	12.1782	0.1116	3.0e-04	0.5457
53	-109.1070	-109.1070	-108.4158	0.9937	12.2634	0.1124	3.0e-04	0.5440
54	-109.1235	-109.1235	-108.4298	0.9936	12.2851	0.1126	3.0e-04	0.5441
55	-109.1262	-109.1262	-108.4189	0.9935	12.4073	0.1137	3.0e-04	0.5464
56	-109.1309	-109.1309	-108.4216	0.9935	12.4267	0.1138	3.0e-04	0.5443
57	-109.1419	-109.1419	-108.4190	0.9934	12.5434	0.1149	3.0e-04	0.5438
58	-109.1386	-109.1386	-108.4618	0.9938	12.1415	0.1112	3.0e-04	0.5460
59	-109.1537	-109.1537	-108.4355	0.9934	12.5034	0.1145	3.0e-04	0.5445
60	-109.1563	-109.1563	-108.4693	0.9937	12.2290	0.1120	3.0e-04	0.5442
61	-109.1734	-109.1734	-108.5002	0.9938	12.1089	0.1109	3.0e-04	0.5463
62	-109.1512	-109.1512	-108.4678	0.9937	12.2003	0.1117	3.0e-04	0.5435
63	-109.1727	-109.1727	-108.4982	0.9938	12.1176	0.1110	3.0e-04	0.5444
64	-109.1660	-109.1660	-108.4668	0.9936	12.3410	0.1130	3.0e-04	0.5459
65	-109.1826	-109.1826	-108.5272	0.9940	11.9526	0.1094	3.0e-04	0.5427
66	-109.1994	-109.1994	-108.5234	0.9938	12.1375	0.1111	3.0e-04	0.5428
67	-109.1834	-109.1834	-108.4989	0.9937	12.2141	0.1118	3.0e-04	0.5458
68	-109.1889	-109.1889	-108.5172	0.9938	12.0996	0.1107	3.0e-04	0.5450
69	-109.1768	-109.1768	-108.4935	0.9937	12.2019	0.1117	3.0e-04	0.5434
70	-109.1889	-109.1889	-108.5285	0.9940	11.9956	0.1098	3.0e-04	0.5455
71	-109.2134	-109.2134	-108.5489	0.9939	12.0325	0.1101	3.0e-04	0.5459
72	-109.1894	-109.1894	-108.5261	0.9939	12.0221	0.1101	3.0e-04	0.5459
73	-109.2121	-109.2121	-108.5336	0.9938	12.1627	0.1113	3.0e-04	0.5445
74	-109.2060	-109.2060	-108.5632	0.9941	11.8333	0.1083	3.0e-04	0.5469
75	-109.1997	-109.1997	-108.5558	0.9941	11.8459	0.1084	3.0e-04	0.5458
76	-109.1798	-109.1798	-108.5501	0.9942	11.7126	0.1072	3.0e-04	0.5441
77	-109.2132	-109.2132	-108.5524	0.9939	11.9900	0.1098	3.0e-04	0.5461
78	-109.2213	-109.2213	-108.5569	0.9939	12.0305	0.1101	3.0e-04	0.5454
79	-109.2116	-109.2116	-108.5679	0.9941	11.8456	0.1084	3.0e-04	0.5438
