# [2025-02-18 16:19:10,120] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:19:12,632] INFO: Setting up the training loop
# [2025-02-18 16:19:13,921] INFO: Initializing parameters and states
# [2025-02-18 16:19:23,513] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:19:31,114] INFO: Start training
# HF energy from loaded: -86.35355428968002
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
575	-87.0886	-87.0886	-62.9672	0.7230	60.0818	0.6908	2.7e-04	9.7622
576	-87.0334	-87.0334	-63.0276	0.7242	59.9517	0.6896	2.7e-04	9.7637
577	-87.0483	-87.0483	-62.2876	0.7156	60.7049	0.6985	2.7e-04	9.7508
578	-87.0393	-87.0393	-63.2492	0.7267	59.7295	0.6870	2.7e-04	9.7670
579	-87.0106	-87.0106	-62.4529	0.7178	60.5303	0.6963	2.7e-04	9.7668
580	-87.0272	-87.0272	-61.8146	0.7103	61.2035	0.7038	2.7e-04	9.7585
581	-87.0713	-87.0713	-62.2358	0.7148	60.8236	0.6993	2.7e-04	9.7623
582	-87.0357	-87.0357	-62.1120	0.7136	60.9086	0.7005	2.7e-04	9.7553
583	-87.0496	-87.0496	-61.6321	0.7080	61.4159	0.7061	2.7e-04	9.7638
584	-87.0485	-87.0485	-62.1291	0.7137	60.8865	0.7001	2.7e-04	9.7728
585	-87.0830	-87.0830	-61.1798	0.7025	61.8866	0.7116	2.7e-04	9.7617
586	-87.0651	-87.0651	-61.2867	0.7039	61.7750	0.7102	2.7e-04	9.7663
587	-87.0729	-87.0729	-61.6622	0.7082	61.4189	0.7060	2.7e-04	9.7640
588	-87.0515	-87.0515	-61.7454	0.7093	61.2888	0.7047	2.7e-04	9.7566
589	-87.0368	-87.0368	-61.3653	0.7051	61.6625	0.7092	2.7e-04	9.7610
590	-87.0759	-87.0759	-60.9281	0.6997	62.1471	0.7144	2.7e-04	9.7670
591	-87.0720	-87.0720	-60.9842	0.7004	62.0988	0.7137	2.7e-04	9.7614
592	-87.0070	-87.0071	-60.4071	0.6943	62.5849	0.7197	2.7e-04	9.7650
593	-87.0596	-87.0596	-60.5704	0.6957	62.4695	0.7183	2.7e-04	9.7613
594	-87.0824	-87.0824	-60.9056	0.6994	62.1922	0.7147	2.7e-04	9.7627
595	-87.0505	-87.0505	-60.7616	0.6980	62.2753	0.7161	2.7e-04	9.7535
596	-87.0769	-87.0769	-60.6114	0.6961	62.4257	0.7179	2.7e-04	9.7637
597	-87.0636	-87.0636	-60.5434	0.6954	62.5056	0.7184	2.7e-04	9.7591
