                         1   -1.2542243488583263e+02   -4.2164269268124289e-05    2.0905464923104471e-04
                         2   -1.2542243494097283e+02   -4.1485622234314407e-05    2.2340270665280565e-04
                         4   -1.2542243544918924e+02   -4.1782617426672913e-05    2.4079182941429288e-04
                         5   -1.2542243530480758e+02   -4.1979312023690630e-05    2.3163601106083697e-04
                         8   -1.2542243551922958e+02   -4.1677296412510653e-05    2.3324515701551098e-04
                        10   -1.2542243548340021e+02   -4.1778069849070571e-05    2.3124989399450898e-04
                        20   -1.2542243549874320e+02   -4.1634608231609367e-05    2.8816917771757266e-04
                        25   -1.2542243522577394e+02   -4.1831859315218618e-05    2.0822531834285591e-04
                        40   -1.2542243510855562e+02   -4.1910043473984297e-05    2.5522037578206455e-04
                        50   -1.2542243519931672e+02   -4.1931079269479817e-05    2.1791607531226014e-04
                       100   -1.2542243525551922e+02   -4.1922471306658749e-05    1.9659236785188539e-04
                       200   -1.2542243522843725e+02   -4.1831248095791130e-05    0.0000000000000000e+00
