# [2025-01-08 15:07:04,024] INFO: Loading Hamiltonian from saved file
# [2025-01-08 15:07:05,951] INFO: Setting up the training loop
# [2025-01-08 15:07:07,168] INFO: Initializing parameters and states
# [2025-01-08 15:07:16,230] INFO: Burning in the sampler for 100 steps
# [2025-01-08 15:07:24,197] INFO: Start training
# HF energy from loaded: -108.3847567718833
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.4086	-108.4086	-108.3392	0.9994	3.8784	0.0358	3.0e-04	10.6607
1	-108.4106	-108.4106	-108.3462	0.9994	3.7340	0.0344	3.0e-04	0.7728
2	-108.4104	-108.4104	-108.3444	0.9994	3.7809	0.0349	3.0e-04	0.5332
3	-108.4103	-108.4103	-108.3423	0.9994	3.8386	0.0354	3.0e-04	0.5358
4	-108.4124	-108.4124	-108.3471	0.9994	3.7632	0.0347	3.0e-04	0.5364
5	-108.4122	-108.4122	-108.3417	0.9993	3.9088	0.0361	3.0e-04	0.5355
6	-108.4119	-108.4119	-108.3398	0.9993	3.9530	0.0365	3.0e-04	0.5342
7	-108.4129	-108.4129	-108.3386	0.9993	4.0126	0.0370	3.0e-04	0.5316
8	-108.4152	-108.4152	-108.3415	0.9993	3.9957	0.0369	3.0e-04	0.5313
9	-108.4160	-108.4160	-108.3405	0.9993	4.0467	0.0373	3.0e-04	0.5336
10	-108.4157	-108.4157	-108.3364	0.9993	4.1465	0.0382	3.0e-04	0.5325
11	-108.4176	-108.4176	-108.3396	0.9993	4.1090	0.0379	3.0e-04	0.5326
12	-108.4163	-108.4163	-108.3339	0.9992	4.2277	0.0390	3.0e-04	0.5326
13	-108.4169	-108.4169	-108.3313	0.9992	4.3080	0.0397	3.0e-04	0.5341
14	-108.4204	-108.4204	-108.3339	0.9992	4.3284	0.0399	3.0e-04	0.5326
15	-108.4220	-108.4220	-108.3292	0.9991	4.4850	0.0414	3.0e-04	0.5313
16	-108.4213	-108.4213	-108.3246	0.9991	4.5783	0.0422	3.0e-04	0.5332
17	-108.4226	-108.4226	-108.3210	0.9991	4.6925	0.0433	3.0e-04	0.5335
18	-108.4258	-108.4258	-108.3165	0.9990	4.8656	0.0449	3.0e-04	0.5326
19	-108.4259	-108.4259	-108.3123	0.9990	4.9622	0.0458	3.0e-04	0.5337
20	-108.4278	-108.4278	-108.3030	0.9988	5.2013	0.0480	3.0e-04	0.5338
21	-108.4306	-108.4306	-108.3013	0.9988	5.2945	0.0488	3.0e-04	0.5349
22	-108.4302	-108.4302	-108.2878	0.9987	5.5558	0.0512	3.0e-04	0.5337
23	-108.4330	-108.4330	-108.2787	0.9986	5.7748	0.0533	3.0e-04	0.5338
24	-108.4334	-108.4334	-108.2723	0.9985	5.9081	0.0545	3.0e-04	0.5351
25	-108.4377	-108.4377	-108.2629	0.9984	6.1523	0.0567	3.0e-04	0.5338
26	-108.4372	-108.4372	-108.2434	0.9982	6.4803	0.0598	3.0e-04	0.5337
27	-108.4438	-108.4438	-108.2353	0.9981	6.7181	0.0619	3.0e-04	0.5339
28	-108.4469	-108.4469	-108.2177	0.9979	7.0477	0.0650	3.0e-04	0.5336
29	-108.4483	-108.4483	-108.2046	0.9978	7.2674	0.0670	3.0e-04	0.5353
30	-108.4505	-108.4505	-108.1802	0.9975	7.6500	0.0705	3.0e-04	0.5349
31	-108.4557	-108.4557	-108.1767	0.9974	7.7748	0.0717	3.0e-04	0.5329
32	-108.4596	-108.4596	-108.1509	0.9972	8.1774	0.0754	3.0e-04	0.5347
33	-108.4674	-108.4674	-108.1501	0.9971	8.2896	0.0764	3.0e-04	0.5345
34	-108.4653	-108.4653	-108.1265	0.9969	8.5619	0.0789	3.0e-04	0.5335
35	-108.4696	-108.4696	-108.1019	0.9966	8.9235	0.0823	3.0e-04	0.5356
36	-108.4738	-108.4738	-108.0776	0.9963	9.2634	0.0854	3.0e-04	0.5341
37	-108.4817	-108.4817	-108.0747	0.9962	9.3845	0.0865	3.0e-04	0.5363
38	-108.4827	-108.4827	-108.0503	0.9960	9.6748	0.0892	3.0e-04	0.5346
39	-108.4873	-108.4873	-108.0325	0.9958	9.9225	0.0915	3.0e-04	0.5341
40	-108.4961	-108.4961	-108.0213	0.9956	10.1384	0.0934	3.0e-04	0.5333
41	-108.5064	-108.5064	-108.0111	0.9954	10.3542	0.0954	3.0e-04	0.5334
42	-108.5087	-108.5087	-108.0049	0.9954	10.4401	0.0962	3.0e-04	0.5354
