# [2025-01-08 15:07:37,701] INFO: Loading Hamiltonian from saved file
# [2025-01-08 15:07:39,618] INFO: Setting up the training loop
# [2025-01-08 15:07:40,825] INFO: Initializing parameters and states
# [2025-01-08 15:07:49,897] INFO: Burning in the sampler for 100 steps
# [2025-01-08 15:07:57,907] INFO: Start training
# HF energy from loaded: -108.3847567718833
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.4086	-108.4086	-108.3392	0.9994	3.8784	0.0358	3.0e-04	13.2745
1	-108.4106	-108.4106	-108.3462	0.9994	3.7340	0.0344	3.0e-04	0.8029
2	-108.4104	-108.4104	-108.3444	0.9994	3.7809	0.0349	3.0e-04	0.5325
3	-108.4103	-108.4103	-108.3423	0.9994	3.8386	0.0354	3.0e-04	0.5326
4	-108.4124	-108.4124	-108.3471	0.9994	3.7632	0.0347	3.0e-04	0.5328
5	-108.4122	-108.4122	-108.3417	0.9993	3.9088	0.0361	3.0e-04	0.5316
6	-108.4119	-108.4119	-108.3398	0.9993	3.9530	0.0365	3.0e-04	0.5302
7	-108.4129	-108.4129	-108.3386	0.9993	4.0126	0.0370	3.0e-04	0.5323
8	-108.4152	-108.4152	-108.3415	0.9993	3.9957	0.0369	3.0e-04	0.5319
9	-108.4160	-108.4160	-108.3405	0.9993	4.0467	0.0373	3.0e-04	0.5314
10	-108.4157	-108.4157	-108.3364	0.9993	4.1465	0.0382	3.0e-04	0.5318
11	-108.4176	-108.4176	-108.3396	0.9993	4.1090	0.0379	3.0e-04	0.5324
12	-108.4163	-108.4163	-108.3339	0.9992	4.2277	0.0390	3.0e-04	0.5327
13	-108.4169	-108.4169	-108.3313	0.9992	4.3080	0.0397	3.0e-04	0.5341
14	-108.4204	-108.4204	-108.3339	0.9992	4.3284	0.0399	3.0e-04	0.5337
15	-108.4220	-108.4220	-108.3292	0.9991	4.4850	0.0414	3.0e-04	0.5344
16	-108.4213	-108.4213	-108.3246	0.9991	4.5783	0.0422	3.0e-04	0.5362
17	-108.4226	-108.4226	-108.3210	0.9991	4.6925	0.0433	3.0e-04	0.5341
18	-108.4258	-108.4258	-108.3165	0.9990	4.8656	0.0449	3.0e-04	0.5345
19	-108.4259	-108.4259	-108.3123	0.9990	4.9622	0.0458	3.0e-04	0.5330
20	-108.4278	-108.4278	-108.3030	0.9988	5.2013	0.0480	3.0e-04	0.5351
21	-108.4306	-108.4306	-108.3013	0.9988	5.2945	0.0488	3.0e-04	0.5348
22	-108.4302	-108.4302	-108.2878	0.9987	5.5558	0.0512	3.0e-04	0.5348
23	-108.4330	-108.4330	-108.2787	0.9986	5.7748	0.0533	3.0e-04	0.5335
24	-108.4334	-108.4334	-108.2723	0.9985	5.9081	0.0545	3.0e-04	0.5355
25	-108.4377	-108.4377	-108.2629	0.9984	6.1523	0.0567	3.0e-04	0.5339
26	-108.4372	-108.4372	-108.2434	0.9982	6.4803	0.0598	3.0e-04	0.5345
27	-108.4438	-108.4438	-108.2353	0.9981	6.7181	0.0619	3.0e-04	0.5335
28	-108.4469	-108.4469	-108.2177	0.9979	7.0477	0.0650	3.0e-04	0.5336
29	-108.4483	-108.4483	-108.2046	0.9978	7.2674	0.0670	3.0e-04	0.5369
30	-108.4505	-108.4505	-108.1802	0.9975	7.6500	0.0705	3.0e-04	0.5349
31	-108.4557	-108.4557	-108.1767	0.9974	7.7748	0.0717	3.0e-04	0.5340
32	-108.4596	-108.4596	-108.1509	0.9972	8.1774	0.0754	3.0e-04	0.5337
33	-108.4674	-108.4674	-108.1501	0.9971	8.2896	0.0764	3.0e-04	0.5349
34	-108.4653	-108.4653	-108.1265	0.9969	8.5619	0.0789	3.0e-04	0.5340
35	-108.4696	-108.4696	-108.1019	0.9966	8.9235	0.0823	3.0e-04	0.5361
36	-108.4738	-108.4738	-108.0776	0.9963	9.2634	0.0854	3.0e-04	0.5360
37	-108.4817	-108.4817	-108.0747	0.9962	9.3845	0.0865	3.0e-04	0.5363
38	-108.4827	-108.4827	-108.0503	0.9960	9.6748	0.0892	3.0e-04	0.5348
39	-108.4873	-108.4873	-108.0325	0.9958	9.9225	0.0915	3.0e-04	0.5344
40	-108.4961	-108.4961	-108.0213	0.9956	10.1384	0.0934	3.0e-04	0.5351
41	-108.5064	-108.5064	-108.0111	0.9954	10.3542	0.0954	3.0e-04	0.5355
42	-108.5087	-108.5087	-108.0049	0.9954	10.4401	0.0962	3.0e-04	0.5346
43	-108.5203	-108.5203	-107.9907	0.9951	10.7065	0.0987	3.0e-04	0.5344
44	-108.5214	-108.5214	-107.9763	0.9950	10.8627	0.1001	3.0e-04	0.5354
45	-108.5293	-108.5293	-107.9861	0.9950	10.8429	0.0999	3.0e-04	0.5364
46	-108.5403	-108.5403	-107.9987	0.9950	10.8290	0.0998	3.0e-04	0.5356
47	-108.5528	-108.5528	-107.9692	0.9946	11.2378	0.1035	3.0e-04	0.5350
48	-108.5520	-108.5520	-108.0193	0.9951	10.7398	0.0990	3.0e-04	0.5345
49	-108.5650	-108.5650	-108.0180	0.9950	10.8814	0.1002	3.0e-04	0.5666
50	-108.5748	-108.5748	-108.0280	0.9950	10.8809	0.1002	3.0e-04	0.5352
51	-108.5788	-108.5788	-108.0329	0.9950	10.8695	0.1001	3.0e-04	0.5360
52	-108.5838	-108.5838	-108.0368	0.9950	10.8846	0.1003	3.0e-04	0.5357
53	-108.5912	-108.5912	-108.0457	0.9950	10.8691	0.1001	3.0e-04	0.5363
54	-108.6100	-108.6100	-108.0831	0.9951	10.6841	0.0984	3.0e-04	0.5345
55	-108.6219	-108.6219	-108.1037	0.9952	10.5953	0.0976	3.0e-04	0.5355
56	-108.6276	-108.6276	-108.1150	0.9953	10.5383	0.0970	3.0e-04	0.5672
57	-108.6438	-108.6438	-108.1190	0.9952	10.6640	0.0982	3.0e-04	0.5341
58	-108.6430	-108.6430	-108.1426	0.9954	10.4145	0.0959	3.0e-04	0.5353
59	-108.6618	-108.6618	-108.1735	0.9955	10.2868	0.0947	3.0e-04	0.5348
60	-108.6502	-108.6502	-108.1554	0.9954	10.3545	0.0953	3.0e-04	0.5368
61	-108.6719	-108.6719	-108.2022	0.9957	10.0938	0.0929	3.0e-04	0.5361
62	-108.6750	-108.6750	-108.2107	0.9957	10.0345	0.0923	3.0e-04	0.5350
63	-108.6978	-108.6978	-108.2392	0.9958	9.9711	0.0917	3.0e-04	0.5348
64	-108.6952	-108.6952	-108.2191	0.9956	10.1580	0.0935	3.0e-04	0.5348
65	-108.7067	-108.7067	-108.2534	0.9958	9.9160	0.0912	3.0e-04	0.5361
66	-108.7145	-108.7145	-108.2640	0.9959	9.8841	0.0909	3.0e-04	0.5353
67	-108.7059	-108.7059	-108.2728	0.9960	9.6868	0.0892	3.0e-04	0.5367
68	-108.7289	-108.7289	-108.2982	0.9960	9.6603	0.0889	3.0e-04	0.5350
69	-108.7334	-108.7334	-108.2854	0.9959	9.8553	0.0907	3.0e-04	0.5349
70	-108.7454	-108.7454	-108.3231	0.9961	9.5721	0.0880	3.0e-04	0.5347
71	-108.7457	-108.7457	-108.3147	0.9960	9.6673	0.0889	3.0e-04	0.5471
72	-108.7368	-108.7368	-108.3110	0.9961	9.6027	0.0884	3.0e-04	0.5373
73	-108.7664	-108.7664	-108.3314	0.9960	9.7102	0.0893	3.0e-04	0.5361
74	-108.7685	-108.7685	-108.3247	0.9959	9.8066	0.0902	3.0e-04	0.5360
75	-108.7636	-108.7636	-108.3197	0.9959	9.8032	0.0902	3.0e-04	0.5359
76	-108.7615	-108.7615	-108.3290	0.9960	9.6742	0.0891	3.0e-04	0.5363
77	-108.7730	-108.7730	-108.3109	0.9958	9.9979	0.0921	3.0e-04	0.5365
78	-108.7712	-108.7712	-108.3111	0.9958	9.9781	0.0919	3.0e-04	0.5694
79	-108.7652	-108.7652	-108.2904	0.9956	10.1343	0.0933	3.0e-04	0.5356
80	-108.7901	-108.7901	-108.3161	0.9956	10.1217	0.0932	3.0e-04	0.5370
81	-108.7824	-108.7824	-108.3140	0.9957	10.0676	0.0927	3.0e-04	0.5363
82	-108.7947	-108.7947	-108.3175	0.9956	10.1595	0.0936	3.0e-04	0.5381
83	-108.7937	-108.7937	-108.3166	0.9956	10.1595	0.0935	3.0e-04	0.5362
84	-108.7917	-108.7917	-108.3050	0.9955	10.2588	0.0945	2.9e-04	0.5367
85	-108.7984	-108.7984	-108.3288	0.9957	10.0741	0.0928	2.9e-04	0.5360
86	-108.8094	-108.8094	-108.3336	0.9956	10.1456	0.0934	2.9e-04	0.5347
87	-108.7952	-108.7952	-108.3097	0.9955	10.2447	0.0944	2.9e-04	0.5376
88	-108.8221	-108.8221	-108.3049	0.9952	10.5725	0.0974	2.9e-04	0.5374
89	-108.8408	-108.8408	-108.3455	0.9954	10.3464	0.0953	2.9e-04	0.5386
90	-108.8367	-108.8367	-108.3325	0.9954	10.4381	0.0961	2.9e-04	0.5368
91	-108.8255	-108.8255	-108.2943	0.9951	10.7093	0.0987	2.9e-04	0.5380
92	-108.8163	-108.8163	-108.3264	0.9955	10.2907	0.0948	2.9e-04	0.5379
93	-108.8264	-108.8264	-108.2978	0.9951	10.6855	0.0984	2.9e-04	0.5372
94	-108.8094	-108.8094	-108.2873	0.9952	10.6234	0.0978	2.9e-04	0.5378
95	-108.8304	-108.8304	-108.3147	0.9953	10.5564	0.0972	2.9e-04	0.5375
96	-108.8334	-108.8334	-108.2963	0.9951	10.7725	0.0992	2.9e-04	0.5383
97	-108.8469	-108.8469	-108.2980	0.9950	10.8878	0.1003	2.9e-04	0.5359
