                         1   -2.4809385849245660e+02   -1.2372364775309715e-04    6.2986025060268052e-04
                         2   -2.4809385792638707e+02   -1.1995080124416139e-04    5.8546428469027456e-04
                         4   -2.4809386087932836e+02   -1.2061239602410728e-04    5.5702630193454417e-04
                         5   -2.4809385980700955e+02   -1.1915610698779470e-04    5.5054361698030909e-04
                         8   -2.4809386166007383e+02   -1.1667774832266110e-04    4.6842603556302630e-04
                        10   -2.4809386153884597e+02   -1.1802136185426327e-04    5.4636297493523465e-04
                        20   -2.4809386142117174e+02   -1.1664917966430654e-04    4.7832138987872894e-04
                        25   -2.4809386111499336e+02   -1.1752291915949936e-04    4.6266748153324871e-04
                        40   -2.4809386250404387e+02   -1.1687036649062388e-04    3.6746047381141421e-04
                        50   -2.4809386213587857e+02   -1.1739356961689652e-04    5.2855674310938578e-04
                       100   -2.4809386318504556e+02   -1.1677088843843917e-04    6.1752300560191512e-04
                       200   -2.4809386281533898e+02   -1.1614455413843474e-04    0.0000000000000000e+00
