# [2025-02-18 16:22:25,661] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:22:28,170] INFO: Setting up the training loop
# [2025-02-18 16:22:29,463] INFO: Initializing parameters and states
# [2025-02-18 16:22:38,922] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:22:46,244] INFO: Start training
# HF energy from loaded: -73.26973745387136
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
638	-73.8601	-73.8601	-52.1133	0.7056	52.2831	0.7086	2.7e-04	9.4652
639	-73.8532	-73.8532	-52.0362	0.7046	52.3385	0.7096	2.7e-04	9.4674
640	-73.8718	-73.8718	-51.8271	0.7016	52.5898	0.7126	2.7e-04	9.4655
641	-73.8895	-73.8896	-51.3483	0.6949	53.0412	0.7190	2.7e-04	9.4705
642	-73.8498	-73.8498	-51.8200	0.7017	52.5394	0.7125	2.7e-04	9.4699
643	-73.9010	-73.9013	-50.4415	0.6826	53.9442	0.7307	2.7e-04	9.4669
644	-73.8766	-73.8767	-51.1700	0.6926	53.2089	0.7212	2.7e-04	9.4627
645	-73.9134	-73.9135	-50.9589	0.6894	53.4506	0.7243	2.7e-04	9.4645
646	-73.8529	-73.8529	-51.5952	0.6986	52.7875	0.7155	2.7e-04	9.4653
647	-73.8660	-73.8662	-50.6805	0.6861	53.6516	0.7272	2.7e-04	9.4694
648	-73.8872	-73.8875	-50.4903	0.6833	53.8723	0.7301	2.7e-04	9.4724
649	-73.8844	-73.8846	-50.8280	0.6879	53.5424	0.7257	2.7e-04	9.4666
650	-73.8721	-73.8723	-50.7679	0.6872	53.5829	0.7262	2.7e-04	9.4639
651	-73.8472	-73.8473	-51.1164	0.6922	53.2138	0.7217	2.7e-04	9.4590
652	-73.8968	-73.8969	-51.0776	0.6912	53.3202	0.7226	2.7e-04	9.4650
653	-73.8543	-73.8544	-50.9606	0.6900	53.3646	0.7236	2.7e-04	9.4682
654	-73.8648	-73.8649	-51.1612	0.6926	53.1886	0.7213	2.7e-04	9.4696
655	-73.8842	-73.8842	-51.2612	0.6938	53.1267	0.7200	2.7e-04	9.4620
656	-73.8723	-73.8723	-52.1820	0.7064	52.2094	0.7078	2.7e-04	9.4638
657	-73.8659	-73.8659	-51.9050	0.7027	52.4881	0.7115	2.7e-04	9.4657
658	-73.8968	-73.8968	-51.9600	0.7031	52.4535	0.7110	2.7e-04	9.4613
659	-73.8484	-73.8484	-52.0420	0.7047	52.3358	0.7095	2.7e-04	9.4656
660	-73.8593	-73.8593	-51.3113	0.6947	53.0587	0.7193	2.6e-04	9.4671
661	-73.8584	-73.8584	-51.8834	0.7025	52.4869	0.7115	2.6e-04	9.4650
662	-73.8715	-73.8715	-51.7423	0.7004	52.6516	0.7136	2.6e-04	9.4653
663	-73.8909	-73.8909	-51.7605	0.7005	52.6690	0.7137	2.6e-04	9.4687
664	-73.8706	-73.8706	-51.4931	0.6971	52.8930	0.7169	2.6e-04	9.4631
665	-73.9012	-73.9012	-52.0100	0.7038	52.4185	0.7104	2.6e-04	9.4704
