    7.5656193330749171e+04   -7.6273495535354550e+02
    7.5999807264031202e+04   -1.5734095132269195e+02
    7.5989550559601514e+04   -1.4634116217253231e+02
    7.5827653459441222e+04   -1.1723000795990964e+02
    7.6039409214467130e+04   -1.4454390553060421e+01
    7.7042508708684021e+04   -3.7559962012729352e+02
    7.6430043494436803e+04    8.2701122317376667e+02
    7.6172916616268776e+04    3.5930356818826294e+02
    7.6507966084709493e+04    5.4775751394608449e+01
    7.6915825922097836e+04    1.5927127845031441e+02
    7.6267321600698517e+04    1.5682060248163614e+03
    7.6357707422884021e+04   -1.6487283766283758e+02
    7.5702436577751243e+04    1.1265415749616045e+03
    7.5136435534952194e+04   -1.6036813598325643e+03
    7.5789356062354520e+04    1.6260389411474313e+02
    7.6275512642869915e+04   -4.7282548961700445e+02
    7.6472008466091691e+04    2.8856239279621059e+02
    7.6526894355443917e+04   -5.0872522250999981e+02
    7.6373913183354118e+04    5.2372052308246248e+02
    7.6055271387109591e+04   -3.3751065359910513e+01
    7.6197005577622564e+04    8.8907077342823266e+02
    7.5501058065793914e+04   -4.5476069487384598e+02
    7.6101430630756178e+04   -1.7078396803997859e+03
    7.5617651366676466e+04    5.2941718741883517e+02
    7.5765225789341552e+04    3.3124112569533054e+01
    7.6687977493830214e+04    2.2083259009107420e+02
    7.5876752355744684e+04    1.2430254770030214e+02
    7.6299997796279102e+04   -1.2670176723434038e+03
    7.5159170855723089e+04    7.1921275064015117e+02
    7.4968791805007961e+04   -5.1284652351848149e+02
    7.5062938640437351e+04   -9.5608032159144364e+02
    7.5634837171854306e+04   -2.9725057073504996e+02
    7.5457434159098731e+04   -6.3388857746187432e+02
    7.5958807957685523e+04    3.9909472714839251e+02
    7.6213778749079211e+04   -7.7150671049486891e+02
    7.6599488168565382e+04    8.8940639487802935e+02
    7.6683181851458037e+04    1.3257721043021422e+02
    7.6766522299823526e+04   -6.6779303507661393e+02
    7.7024718808979873e+04    1.8133475360135162e+02
    7.6975336105982860e+04   -7.3700306481334360e+02
    7.6899477623096813e+04   -1.2669523762538715e+03
    7.6761997493793635e+04    8.1032332775220084e+01
    7.6276569665522198e+04   -3.3173250406652096e+02
    7.6105662330518942e+04    1.3246610920256671e+03
    7.5988063310052268e+04    7.2996770449293967e+02
    7.5334163416206371e+04    1.5199522764576100e+03
    7.6072736807617504e+04   -4.0616250217830532e+02
    7.5135757255508448e+04   -7.8129973061500368e+02
    7.5293278193099832e+04   -5.8142646985147098e+02
    7.5631537062189222e+04    3.9374188264838494e+01
    7.5930807230841485e+04   -1.1639397659905649e+03
    7.6185703601202476e+04   -4.8598616429949709e+02
    7.6335987298773602e+04    1.7212125300033842e+03
    7.6561577851277165e+04    1.5304982784465165e+02
    7.6802472576901520e+04    7.7642879279472220e+02
    7.5676552325013909e+04   -2.3679253336088209e+02
    7.5890050773232491e+04   -1.2026794526429734e+02
    7.5808782522460184e+04   -5.0700085974074182e+02
    7.5943699597537794e+04   -2.1072848944530206e+03
    7.6233095201037184e+04    4.2095726769258897e+02
    7.5808241075693746e+04    1.0353006116620013e+03
    7.5856000872147313e+04    7.8991216604408510e+02
    7.5469177291959306e+04    6.0639538168113859e+02
    7.4397389346074604e+04    2.4397616012580863e+02
    7.5651435377844333e+04    2.9043342832054441e+02
    7.5968410383258597e+04    8.6606693737363094e+02
    7.5854855980430322e+04    1.5957210690923139e+03
    7.6317636858013706e+04    5.8485763417631836e+02
    7.5831495379801170e+04   -8.7484432708536929e+01
    7.6375502548306365e+04    7.6762481933930462e+02
    7.6288168490002034e+04   -7.6480149441590311e+02
    7.6574205597458465e+04    7.5939246016411312e+02
    7.6622662508069436e+04   -1.0232241839387119e+03
    7.6297527759784047e+04   -1.3300211169844761e+03
    7.6190123166146514e+04   -3.3458355875672430e+02
    7.6258857679753797e+04   -2.5664427751682109e+02
    7.5352576545386604e+04    1.1600634929633560e+02
    7.5770450651920284e+04   -3.0827334766119600e+02
    7.5348420790553879e+04   -7.7670219332908664e+02
