# [2024-12-22 17:26:29,359] INFO: Loading Hamiltonian from saved file
# [2024-12-22 17:26:33,275] INFO: Setting up the training loop
# [2024-12-22 17:26:34,589] INFO: Initializing parameters and states
# [2024-12-22 17:26:44,098] INFO: Burning in the sampler for 100 steps
# [2024-12-22 17:27:09,590] INFO: Start training
# HF energy from loaded: -108.22289855006844
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.2486	-108.2486	-108.1878	0.9994	3.6291	0.0335	3.0e-04	13.7834
1	-108.2502	-108.2502	-108.1925	0.9995	3.5321	0.0326	3.0e-04	3.6576
2	-108.2503	-108.2503	-108.1916	0.9995	3.5653	0.0329	3.0e-04	3.4270
3	-108.2494	-108.2494	-108.1882	0.9994	3.6420	0.0336	3.0e-04	3.3975
4	-108.2522	-108.2522	-108.1931	0.9995	3.5760	0.0330	3.0e-04	3.4094
5	-108.2515	-108.2515	-108.1891	0.9994	3.6739	0.0339	3.0e-04	3.4292
6	-108.2516	-108.2516	-108.1879	0.9994	3.7122	0.0343	3.0e-04	3.4312
7	-108.2528	-108.2528	-108.1871	0.9994	3.7703	0.0348	3.0e-04	3.4277
8	-108.2548	-108.2548	-108.1876	0.9994	3.8160	0.0352	3.0e-04	3.4184
9	-108.2564	-108.2564	-108.1880	0.9994	3.8486	0.0355	3.0e-04	3.4204
10	-108.2546	-108.2546	-108.1832	0.9993	3.9307	0.0363	3.0e-04	3.4300
11	-108.2568	-108.2568	-108.1829	0.9993	3.9961	0.0369	3.0e-04	3.4342
12	-108.2568	-108.2568	-108.1812	0.9993	4.0411	0.0373	3.0e-04	3.4318
13	-108.2570	-108.2570	-108.1757	0.9992	4.1908	0.0387	3.0e-04	3.4185
14	-108.2591	-108.2591	-108.1767	0.9992	4.2219	0.0390	3.0e-04	3.4261
15	-108.2604	-108.2604	-108.1701	0.9992	4.4207	0.0408	3.0e-04	3.4286
16	-108.2614	-108.2614	-108.1673	0.9991	4.5116	0.0417	3.0e-04	3.4305
17	-108.2616	-108.2616	-108.1629	0.9991	4.6227	0.0427	3.0e-04	3.4275
18	-108.2653	-108.2653	-108.1604	0.9990	4.7654	0.0440	3.0e-04	3.4097
19	-108.2641	-108.2641	-108.1563	0.9990	4.8308	0.0446	3.0e-04	3.4113
20	-108.2674	-108.2674	-108.1483	0.9989	5.0774	0.0469	3.0e-04	3.4197
21	-108.2705	-108.2705	-108.1466	0.9989	5.1794	0.0478	3.0e-04	3.4252
22	-108.2695	-108.2695	-108.1365	0.9988	5.3644	0.0495	3.0e-04	3.4223
23	-108.2732	-108.2732	-108.1303	0.9987	5.5573	0.0513	3.0e-04	3.4253
24	-108.2733	-108.2733	-108.1246	0.9986	5.6724	0.0524	3.0e-04	3.4031
25	-108.2769	-108.2769	-108.1185	0.9985	5.8537	0.0541	3.0e-04	3.4302
26	-108.2766	-108.2766	-108.1074	0.9984	6.0504	0.0559	3.0e-04	3.4216
27	-108.2836	-108.2836	-108.0989	0.9983	6.3164	0.0583	3.0e-04	3.4229
28	-108.2863	-108.2863	-108.0874	0.9982	6.5599	0.0606	3.0e-04	3.4267
29	-108.2881	-108.2881	-108.0796	0.9981	6.7149	0.0620	3.0e-04	3.4243
30	-108.2902	-108.2902	-108.0622	0.9979	7.0196	0.0648	3.0e-04	3.4227
31	-108.2938	-108.2938	-108.0598	0.9978	7.1151	0.0657	3.0e-04	3.4177
32	-108.3004	-108.3004	-108.0427	0.9976	7.4658	0.0689	3.0e-04	3.4217
33	-108.3048	-108.3048	-108.0347	0.9975	7.6440	0.0706	3.0e-04	3.4346
34	-108.3029	-108.3029	-108.0229	0.9974	7.7810	0.0718	3.0e-04	3.4304
35	-108.3120	-108.3120	-108.0119	0.9972	8.0570	0.0744	3.0e-04	3.4087
36	-108.3145	-108.3145	-107.9853	0.9970	8.4381	0.0779	3.0e-04	3.4099
37	-108.3184	-108.3184	-107.9810	0.9969	8.5372	0.0788	3.0e-04	3.4248
38	-108.3219	-108.3219	-107.9644	0.9967	8.7918	0.0812	3.0e-04	3.4398
39	-108.3320	-108.3320	-107.9626	0.9966	8.9381	0.0825	3.0e-04	3.4306
40	-108.3377	-108.3377	-107.9299	0.9962	9.3888	0.0867	3.0e-04	3.4204
41	-108.3455	-108.3455	-107.9267	0.9961	9.5154	0.0878	3.0e-04	3.4185
42	-108.3446	-108.3446	-107.9218	0.9961	9.5595	0.0882	3.0e-04	3.4143
43	-108.3573	-108.3573	-107.9174	0.9959	9.7520	0.0900	3.0e-04	3.4296
44	-108.3606	-108.3606	-107.9172	0.9959	9.7919	0.0904	3.0e-04	3.4232
45	-108.3730	-108.3730	-107.9129	0.9958	9.9748	0.0920	3.0e-04	3.4216
46	-108.3807	-108.3807	-107.9168	0.9957	10.0150	0.0924	3.0e-04	3.4074
47	-108.3968	-108.3968	-107.9269	0.9957	10.0776	0.0930	3.0e-04	3.4279
48	-108.3997	-108.3997	-107.9508	0.9959	9.8527	0.0909	3.0e-04	3.4245
49	-108.4065	-108.4065	-107.9551	0.9958	9.8805	0.0912	3.0e-04	3.4271
50	-108.4188	-108.4188	-107.9703	0.9959	9.8486	0.0909	3.0e-04	3.4165
51	-108.4301	-108.4301	-107.9959	0.9960	9.6905	0.0894	3.0e-04	3.4333
52	-108.4292	-108.4292	-107.9928	0.9960	9.7174	0.0896	3.0e-04	3.4323
53	-108.4439	-108.4439	-107.9968	0.9959	9.8355	0.0907	3.0e-04	3.4280
54	-108.4534	-108.4534	-108.0424	0.9962	9.4323	0.0870	3.0e-04	3.4185
55	-108.4646	-108.4646	-108.0732	0.9964	9.2055	0.0849	3.0e-04	3.4206
56	-108.4740	-108.4740	-108.0914	0.9965	9.0994	0.0839	3.0e-04	3.4184
57	-108.4942	-108.4942	-108.1144	0.9965	9.0690	0.0836	3.0e-04	3.4116
58	-108.4964	-108.4964	-108.1283	0.9966	8.9287	0.0823	3.0e-04	3.4144
59	-108.5112	-108.5112	-108.1760	0.9969	8.5235	0.0785	3.0e-04	3.4169
60	-108.5118	-108.5118	-108.1847	0.9970	8.4197	0.0776	3.0e-04	3.4274
61	-108.5229	-108.5229	-108.1979	0.9970	8.3962	0.0773	3.0e-04	3.4377
62	-108.5409	-108.5409	-108.2362	0.9972	8.1292	0.0749	3.0e-04	3.4030
63	-108.5614	-108.5614	-108.2766	0.9974	7.8595	0.0724	3.0e-04	3.4166
64	-108.5542	-108.5542	-108.2636	0.9973	7.9386	0.0731	3.0e-04	3.4292
65	-108.5715	-108.5715	-108.3161	0.9976	7.4477	0.0686	3.0e-04	3.4343
66	-108.5769	-108.5769	-108.3355	0.9978	7.2387	0.0666	3.0e-04	3.4262
67	-108.5709	-108.5709	-108.3455	0.9979	6.9934	0.0644	3.0e-04	3.4211
68	-108.5845	-108.5845	-108.3630	0.9980	6.9367	0.0638	3.0e-04	3.4177
69	-108.5781	-108.5781	-108.3672	0.9981	6.7665	0.0623	3.0e-04	3.4244
70	-108.6059	-108.6059	-108.3901	0.9980	6.8438	0.0630	3.0e-04	3.4250
71	-108.6147	-108.6147	-108.4092	0.9981	6.6748	0.0615	3.0e-04	3.4282
72	-108.6049	-108.6049	-108.3958	0.9981	6.7339	0.0620	3.0e-04	3.4190
73	-108.6211	-108.6211	-108.4092	0.9980	6.7807	0.0624	3.0e-04	3.4170
74	-108.6418	-108.6418	-108.4315	0.9981	6.7542	0.0622	3.0e-04	3.4252
75	-108.6491	-108.6491	-108.4272	0.9980	6.9375	0.0639	3.0e-04	3.4165
76	-108.6144	-108.6144	-108.3950	0.9980	6.8965	0.0635	3.0e-04	3.4264
77	-108.6380	-108.6380	-108.3999	0.9978	7.1802	0.0662	3.0e-04	3.4164
78	-108.6402	-108.6402	-108.3927	0.9977	7.3230	0.0675	3.0e-04	3.4244
79	-108.6415	-108.6415	-108.3824	0.9976	7.4900	0.0690	3.0e-04	3.4350
80	-108.6442	-108.6442	-108.3618	0.9974	7.8180	0.0720	3.0e-04	3.4161
81	-108.6504	-108.6504	-108.3656	0.9974	7.8538	0.0724	3.0e-04	3.4205
