# [2025-01-08 15:15:32,236] INFO: Loading Hamiltonian from saved file
# [2025-01-08 15:15:34,126] INFO: Setting up the training loop
# [2025-01-08 15:15:35,333] INFO: Initializing parameters and states
# [2025-01-08 15:15:44,306] INFO: Burning in the sampler for 100 steps
# [2025-01-08 15:15:52,185] INFO: Start training
# HF energy from loaded: -108.22289855006844
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-108.2490	-108.2490	-108.1729	0.9993	4.0579	0.0375	3.0e-04	10.5210
1	-108.2505	-108.2505	-108.1785	0.9993	3.9487	0.0365	3.0e-04	0.7455
2	-108.2507	-108.2507	-108.1777	0.9993	3.9737	0.0367	3.0e-04	0.5204
3	-108.2498	-108.2498	-108.1732	0.9993	4.0702	0.0376	3.0e-04	0.5212
4	-108.2526	-108.2526	-108.1798	0.9993	3.9702	0.0367	3.0e-04	0.5208
5	-108.2518	-108.2518	-108.1742	0.9993	4.0978	0.0379	3.0e-04	0.5205
6	-108.2520	-108.2520	-108.1728	0.9993	4.1392	0.0382	3.0e-04	0.5222
7	-108.2532	-108.2532	-108.1709	0.9992	4.2181	0.0390	3.0e-04	0.5219
8	-108.2553	-108.2553	-108.1717	0.9992	4.2532	0.0393	3.0e-04	0.5208
9	-108.2569	-108.2569	-108.1741	0.9992	4.2324	0.0391	3.0e-04	0.5221
10	-108.2551	-108.2551	-108.1677	0.9992	4.3484	0.0402	3.0e-04	0.5209
11	-108.2573	-108.2573	-108.1684	0.9992	4.3816	0.0405	3.0e-04	0.5214
12	-108.2572	-108.2572	-108.1657	0.9992	4.4492	0.0411	3.0e-04	0.5202
13	-108.2574	-108.2574	-108.1594	0.9991	4.6048	0.0425	3.0e-04	0.5222
14	-108.2596	-108.2596	-108.1594	0.9991	4.6559	0.0430	3.0e-04	0.5223
15	-108.2609	-108.2609	-108.1526	0.9990	4.8413	0.0447	3.0e-04	0.5227
16	-108.2618	-108.2618	-108.1506	0.9990	4.9063	0.0453	3.0e-04	0.5208
17	-108.2620	-108.2620	-108.1456	0.9989	5.0188	0.0464	3.0e-04	0.5214
18	-108.2657	-108.2657	-108.1437	0.9989	5.1388	0.0475	3.0e-04	0.5221
19	-108.2645	-108.2645	-108.1387	0.9988	5.2175	0.0482	3.0e-04	0.5225
20	-108.2679	-108.2679	-108.1286	0.9987	5.4887	0.0507	3.0e-04	0.5227
21	-108.2711	-108.2711	-108.1274	0.9987	5.5765	0.0515	3.0e-04	0.5216
22	-108.2700	-108.2700	-108.1164	0.9986	5.7638	0.0532	3.0e-04	0.5213
23	-108.2737	-108.2737	-108.1114	0.9985	5.9218	0.0547	3.0e-04	0.5237
24	-108.2737	-108.2737	-108.1050	0.9984	6.0434	0.0558	3.0e-04	0.5227
25	-108.2773	-108.2773	-108.0981	0.9983	6.2272	0.0575	3.0e-04	0.5218
26	-108.2768	-108.2768	-108.0861	0.9982	6.4248	0.0593	3.0e-04	0.5214
27	-108.2840	-108.2840	-108.0797	0.9981	6.6403	0.0613	3.0e-04	0.5224
28	-108.2869	-108.2869	-108.0654	0.9980	6.9213	0.0639	3.0e-04	0.5233
29	-108.2886	-108.2886	-108.0591	0.9979	7.0455	0.0651	3.0e-04	0.5240
30	-108.2905	-108.2905	-108.0420	0.9977	7.3270	0.0677	3.0e-04	0.5225
31	-108.2940	-108.2940	-108.0377	0.9976	7.4457	0.0688	3.0e-04	0.5260
32	-108.3008	-108.3008	-108.0189	0.9974	7.8073	0.0721	3.0e-04	0.5242
33	-108.3052	-108.3052	-108.0130	0.9973	7.9504	0.0734	3.0e-04	0.5235
34	-108.3032	-108.3032	-107.9960	0.9972	8.1483	0.0752	3.0e-04	0.5227
35	-108.3118	-108.3118	-107.9866	0.9970	8.3857	0.0774	3.0e-04	0.5251
36	-108.3144	-108.3144	-107.9596	0.9967	8.7604	0.0809	3.0e-04	0.5220
37	-108.3178	-108.3178	-107.9538	0.9966	8.8670	0.0819	3.0e-04	0.5216
38	-108.3216	-108.3216	-107.9315	0.9964	9.1843	0.0848	3.0e-04	0.5240
